Sample ID	Crop	Taxonomy	Level of improvement	"Country, State"	Region
AGG47077CHIC2-B00001-9-70	Chickpea	Cicer arietinum	Landrace	"Kazakhstan, Zhezqazghan"	Central Asia
AGG47176CHIC1-B00001-9-71	Chickpea	Cicer arietinum	Landrace	"Ukraine-Crimea, Crimea"	Eastern Europe
AGG47177CHIC4-B00001-9-72	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Tashkent"	Central Asia
AGG47233CHIC1-B00001-9-73	Chickpea	Cicer arietinum	Landrace	Tajikistan	Central Asia
AGG47322CHIC1-B00001-9-74	Chickpea	Cicer arietinum	Landrace	"Greece, Crete"	Southern Europe
AGG47448CHIC2-B00001-9-75	Chickpea	Cicer arietinum	Landrace	Moldova	Eastern Europe
AGG47510CHIC4-B00001-9-76	Chickpea	Cicer arietinum	Landrace	Kyrgyzstan	Central Asia
AGG47547CHIC3-B00001-9-77	Chickpea	Cicer arietinum	Landrace	Romania	Eastern Europe
AGG47549CHIC3-B00001-9-78	Chickpea	Cicer arietinum	Landrace	"Azerbaijan, Nagorno-Karabakh"	Other
AGG47552CHIC3-B00001-9-79	Chickpea	Cicer arietinum	Landrace	Bulgaria	Eastern Europe
AGG47553CHIC3-B00001-9-80	Chickpea	Cicer arietinum	Landrace	Bulgaria	Eastern Europe
AGG47557CHIC2-B00001-9-81	Chickpea	Cicer arietinum	Landrace	"Russian Federation, Krasnodar"	Eastern Europe
AGG47577CHIC2-B00001-9-82	Chickpea	Cicer arietinum	Landrace	Iraq	Middle East
AGG47578CHIC2-B00001-9-83	Chickpea	Cicer arietinum	Landrace	Mexico	Americas
AGG47580CHIC2-B00001-9-84	Chickpea	Cicer arietinum	Landrace	"Ukraine, Chernihiv"	Eastern Europe
AGG47582CHIC2-B00001-9-85	Chickpea	Cicer arietinum	Landrace	Tunisia	Africa
AGG47583CHIC2-B00001-9-86	Chickpea	Cicer arietinum	Landrace	Tunisia	Africa
AGG47595CHIC1-B00001-9-87	Chickpea	Cicer arietinum	Landrace	Iran	Middle East
AGG47599CHIC2-B00001-9-88	Chickpea	Cicer arietinum	Landrace	"Mexico, Mexico"	Americas
AGG47651CHIC1-B00001-9-90	Chickpea	Cicer arietinum	Landrace	Jordan	Middle East
AGG47699CHIC1-B00001-9-91	Chickpea	Cicer arietinum	Landrace	Kenya	Africa
AGG47703CHIC1-B00001-9-92	Chickpea	Cicer arietinum	Landrace	Libya	Africa
AGG47733CHIC1-B00001-9-93	Chickpea	Cicer arietinum	Landrace	Turkey	Middle East
AGG47735CHIC1-B00001-9-94	Chickpea	Cicer arietinum	Landrace	Syria	Middle East
AGG47738CHIC1-B00001-9-95	Chickpea	Cicer arietinum	Landrace	Sudan	Africa
AGG45932CHIC2-B00001-1-22	Chickpea	Cicer arietinum	Landrace	"Turkey, Kutahya"	Middle East
AGG45983CHIC1-B00001-1-23	Chickpea	Cicer arietinum	Landrace	"Russian Federation, Dagestan"	Eastern Europe
AGG46227CHIC3-B00001-1-24	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Tashkent"	Central Asia
AGG46235CHIC5-B00001-1-25	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Samarqand"	Central Asia
AGG46237CHIC4-B00001-1-26	Chickpea	Cicer arietinum	Landrace	Turkmenistan	Central Asia
AGG46238CHIC3-B00001-1-27	Chickpea	Cicer arietinum	Landrace	Armenia	Other
AGG46243CHIC2-B00001-1-28	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Bukhara"	Central Asia
AGG46244CHIC3-B00001-1-29	Chickpea	Cicer arietinum	Landrace	Ukraine	Eastern Europe
AGG46260CHIC2-B00001-1-30	Chickpea	Cicer arietinum	Landrace	Armenia	Other
AGG46263CHIC4-B00001-1-31	Chickpea	Cicer arietinum	Landrace	Tajikistan	Central Asia
AGG46274CHIC1-B00001-1-32	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Samarqand"	Central Asia
AGG46278CHIC1-B00001-1-33	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Karakalpakstan"	Central Asia
AGG46279CHIC5-B00001-1-34	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Surkhondaryo"	Central Asia
AGG46285CHIC2-B00001-1-35	Chickpea	Cicer arietinum	Landrace	"Bulgaria, Burgas"	Eastern Europe
AGG46291CHIC3-B00001-1-36	Chickpea	Cicer arietinum	Landrace	Tajikistan	Central Asia
AGG46679CHIC3-B00001-1-37	Chickpea	Cicer arietinum	Landrace	"India, Uttar Pradesh"	South Asia
AGG46714CHIC3-B00001-1-38	Chickpea	Cicer arietinum	Landrace	Iran	Middle East
AGG46730CHIC3-B00001-1-39	Chickpea	Cicer arietinum	Landrace	Iran	Middle East
AGG47056CHIC3-B00001-1-40	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47081CHIC5-B00001-1-41	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Namangan"	Central Asia
AGG47084CHIC2-B00001-1-42	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Namangan"	Central Asia
AGG47105CHIC5-B00001-1-43	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Jizzakh"	Central Asia
AGG47111CHIC2-B00001-1-44	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Jizzakh"	Central Asia
AGG47114CHIC2-B00001-1-45	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Samarqand"	Central Asia
AGG47155CHIC2-B00001-1-46	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Tashkent"	Central Asia
AGG47159CHIC2-B00001-1-47	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Tashkent"	Central Asia
AGG47185CHIC3-B00001-1-48	Chickpea	Cicer arietinum	Landrace	"Tajikistan, Kulob"	Central Asia
AGG47193CHIC1-B00001-1-49	Chickpea	Cicer arietinum	Landrace	Ukraine	Eastern Europe
AGG47197CHIC2-B00001-1-50	Chickpea	Cicer arietinum	Landrace	Italy	Southern Europe
AGG47257CHIC4-B00001-1-51	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Andijon"	Central Asia
AGG47258CHIC4-B00001-1-52	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Farghona"	Central Asia
AGG47260CHIC6-B00001-1-53	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Bukhara"	Central Asia
AGG47305CHIC2-B00001-1-54	Chickpea	Cicer arietinum	Landrace	Georgia	Other
AGG47312CHIC5-B00001-1-55	Chickpea	Cicer arietinum	Landrace	Armenia	Other
AGG47328CHIC3-B00001-1-56	Chickpea	Cicer arietinum	Landrace	Georgia	Other
AGG47334CHIC4-B00001-1-57	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47337CHIC4-B00001-1-58	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47339CHIC2-B00001-1-59	Chickpea	Cicer arietinum	Landrace	"Ukraine, Kharkiv"	Eastern Europe
AGG47344CHIC3-B00001-1-60	Chickpea	Cicer arietinum	Landrace	Latvia	Northern Europe
AGG47358CHIC2-B00001-1-61	Chickpea	Cicer arietinum	Landrace	"Tajikistan, Kulob"	Central Asia
AGG47364CHIC6-B00001-1-62	Chickpea	Cicer arietinum	Landrace	Tajikistan	Central Asia
AGG47391CHIC2-B00001-1-63	Chickpea	Cicer arietinum	Landrace	"Tajikistan, Kulob"	Central Asia
AGG47445CHIC2-B00001-1-64	Chickpea	Cicer arietinum	Landrace	Tajikistan	Central Asia
AGG47446CHIC2-B00001-1-65	Chickpea	Cicer arietinum	Landrace	Tajikistan	Central Asia
AGG47447CHIC2-B00001-1-66	Chickpea	Cicer arietinum	Landrace	"Uzbekistan, Samarqand"	Central Asia
AGG47451CHIC2-B00001-1-67	Chickpea	Cicer arietinum	Landrace	"Tajikistan, Kulob"	Central Asia
AGG47515CHIC3-B00001-1-68	Chickpea	Cicer arietinum	Landrace	"Russian Federation-European part, European part"	Eastern Europe
